"ms","ms_name","fund","year","planned_eu_amount","n_3_decommitment_amount","net_planned_eu_amount","cumulative_initial_pre_financing","cumulative_additional_initial_pre_financing","recovery_of_initial_pre_financing","net_initial_pre_financing","cumulative_annual_pre_financing","annual_pre_financing_covered_by_expenditure","recovery_of_annual_pre_financing","net_annual_pre_financing","cumulative_interim_payments","recovery_of_expenses","net_interim_payments","total_net_payments","eu_payment_rate","eu_payment_rate_on_planned_eu_amount"
"SK","Slovakia","ERDF","2018","7264487120","0","7264487120","207560329.74","0","0","207560329.74","508473088.43","15747166.85","304241674.87","188484246.71","773578710.87","0","789325877.72","1185370454.17","16.32","16.32"
"CY","Cyprus","TOTAL","2019","594767585","0","594767585","21123211.09","0","0","21123211.09","55865111.43","12759681.39","27031836.02","16073594.02","231061770.79","0","243821452.18","281018257.29","47.25","47.25"
"ES","Spain","ERDF","2019","20681351741","-2111646","20679240095","638552276.36","0","0","638552276.36","1934084905.67","89928793.63","1285242581.2","558913530.84","4744841175.16","77194386.94","4757575581.85","5955041389.05","28.8","28.79"
"LU","Luxembourg","TOTAL","2016","19502403","0","19502403","549967.77","0","0","549967.77","366645.18","0","0","366645.18","312993.86","0","312993.86","1229606.81","6.3","6.3"
"EE","Estonia","ERDF","2017","1856562743","0","1856562743","52854171.27","0","0","52854171.27","81483514.03","6184484.15","29051630.03","46247399.85","194774746.82","0","200959230.97","300060802.09","16.16","16.16"
"HU","Hungary","CF","2018","6025427012","0","6025427012","169917041.73","0","0","169917041.73","417712727.6","0","261955439.34","155757288.26","1616911709.51","0","1616911709.51","1942586039.5","32.24","32.24"
"FR","France","ERDF","2019","8426107776","-1487649","8424620127","237689732.43","0","0","237689732.43","812102934.75","69413804.19","510113953.33","232575177.23","2226742057.83","12373816.33","2283782045.69","2754046955.35","32.69","32.68"
"LV","Latvia","TOTAL","2014","3750667147","0","3750667147","35256271.17","0","0","35256271.17","0","0","0","0","0","0","0","35256271.17","0.94","0.94"
"LT","Lithuania","ERDF","2015","3501411767","0","3501411767","65826541.22","0","0","65826541.22","0","0","0","0","0","0","0","65826541.22","1.88","1.88"
"CY","Cyprus","CF","2015","269541702","0","269541702","7601076","0","0","7601076","0","0","0","0","0","0","0","7601076","2.82","2.82"
"LT","Lithuania","CF","2019","2048917626","0","2048917626","57779477.04","0","0","57779477.04","197413213.23","9168302.5","156416953.85","31827956.88","770464732.53","0","779633035.03","869240468.95","42.42","42.42"
"CY","Cyprus","ERDF","2018","299898560","0","299898560","10988443.09","0","0","10988443.09","20450827.6","1279861.74","11418588.07","7752377.79","117895467.68","0","119175329.42","137916150.3","45.99","45.99"
"AT","Austria","TOTAL","2015","536262079","0","536262079","10081727.08","0","0","10081727.08","0","0","0","0","0","0","0","10081727.08","1.88","1.88"
"DE","Germany","TOTAL","2016","10773842813","0","10773842813","303822367.17","0","0","303822367.17","202548244.78","0","0","202548244.78","137949348.48","0","137949348.48","644319960.43","5.98","5.98"
"LV","Latvia","TOTAL","2020","3712517750","0","3712517750","105768813.51","0","0","105768813.51","467145593.02","31088005.44","231312971.94","204744615.64","1673735123.4","1507380.69","1703315748.15","2013829177.3","54.24","54.24"
"PL","Poland","ERDF","2020","40297613421","0","40297613421","1134031140.72","0","0","1134031140.72","5008637538.34","929902595.67","2403592964.58","1675141978.09","20348548834.92","103176280.44","21175275150.15","23984448268.96","59.52","59.52"
"NL","Netherlands","ERDF","2017","510282703","0","510282703","14306374.02","0","0","14306374.02","22055659.94","0","9537582.68","12518077.26","28556922.2","0","28556922.2","55381373.48","10.85","10.85"
"UK","United Kingdom","ERDF","2014","2197323984","0","2197323984","20601422.3","0","0","20601422.3","0","0","0","0","0","0","0","20601422.3","0.94","0.94"
"UK","United Kingdom","TOTAL","2020","5861030512","-46154833","5814875679","164281476.84","0","0","164281476.84","727195354.3","120458656.51","357955347.73","248781350.06","2116652330.26","16432276.13","2220678710.64","2633741537.54","45.29","44.94"
"FR","France","TOTAL","2019","8426107776","-1487649","8424620127","237689732.43","0","0","237689732.43","812102934.75","69413804.19","510113953.33","232575177.23","2226742057.83","12373816.33","2283782045.69","2754046955.35","32.69","32.68"
"GR","Greece","CF","2015","3247019501","0","3247019501","91560145.44","106820169.68","0","198380315.12","0","0","0","0","0","0","0","198380315.12","6.11","6.11"
"MT","Malta","CF","2016","217742109","0","217742109","6140327.46","0","0","6140327.46","4093551.64","0","0","4093551.64","0","0","0","10233879.1","4.7","4.7"
