"ms","ms_name","fund","year","planned_eu_amount","n_3_decommitment_amount","net_planned_eu_amount","cumulative_initial_pre_financing","cumulative_additional_initial_pre_financing","recovery_of_initial_pre_financing","net_initial_pre_financing","cumulative_annual_pre_financing","annual_pre_financing_covered_by_expenditure","recovery_of_annual_pre_financing","net_annual_pre_financing","cumulative_interim_payments","recovery_of_expenses","net_interim_payments","total_net_payments","eu_payment_rate","eu_payment_rate_on_planned_eu_amount"
"TC","Interreg","TOTAL","2021","9410074037","-1124114","9408949923","277009954.59","0","0","277009954.59","1425146510.54","273242344.24","793378204.08","358525962.22","4498528426.2","4078814.76","4767691955.68","5403227872.49","57.43","57.42"
"BE","Belgium","ERDF","2021","953009307","0","953009307","26778362.34","0","0","26778362.34","137608719.45","21333959.7","77138380.79","39136378.96","403230824.46","0","424564784.16","490479525.46","51.47","51.47"
"EE","Estonia","TOTAL","2021","3083110828","0","3083110828","100775982.75","0","0","100775982.75","426642835.18","95837981.88","206694002.91","124110850.39","1911772018.18","1248645.94","2006361354.12","2231248187.26","72.37","72.37"
"EE","Estonia","ERDF","2021","2021576151","0","2021576151","70508305.68","0","0","70508305.68","272685548.91","57449527.96","136376833.77","78859187.18","1138625748.18","0","1196075276.14","1345442769","66.55","66.55"
"FR","France","TOTAL","2021","10362763813","-1961802","10360802011","443821134.61","0","0","443821134.61","1256299244.93","211662053.12","681455764.21","363181427.6","3880794526.89","27934216.28","4064522363.73","4871524925.94","47.02","47.01"
"LU","Luxembourg","ERDF","2021","19502403","0","19502403","549967.77","0","0","549967.77","2819072.38","876416.32","1357823.64","584832.42","13054346.62","830013.35","13100749.59","14235549.78","72.99","72.99"
"LV","Latvia","TOTAL","2021","3895772709","0","3895772709","125926859","0","0","125926859","545061047.2","50052326.45","318117464.44","176891256.31","1986971420.56","3090265.68","2033933481.33","2336751596.64","59.98","59.98"
"EU28","EU28","TOTAL","2021","273030985855","-90264609","272940721246","8946330294.61","750910432.28","21531983.27","9675708743.62","37982917399.16","6849014285.82","20933461049.32","10200442064.02","147890135046.9","1475540218.66","153263609114.06","173139759921.7","63.43","63.41"
"PL","Poland","TOTAL","2021","64676082533","0","64676082533","1846829253.16","0","0","1846829253.16","9174735397.44","2451786154.8","4528755140.49","2194194102.15","40323996886.68","103369931.05","42672413110.43","46713436465.74","72.23","72.23"
"SE","Sweden","ERDF","2021","992219390","-19872","992199518","32970577.39","0","0","32970577.39","136712047.31","43955103.67","59705621.01","33051322.63","525289159.13","1692594.81","567551667.99","633573568.01","63.86","63.85"
"FR","France","ERDF","2021","10362763813","-1961802","10360802011","443821134.61","0","0","443821134.61","1256299244.93","211662053.12","681455764.21","363181427.6","3880794526.89","27934216.28","4064522363.73","4871524925.94","47.02","47.01"
"MT","Malta","TOTAL","2021","573346106","0","573346106","16979110.17","0","0","16979110.17","86127992.04","17987219.99","49120201.19","19020570.86","264625439.9","0","282612659.89","318612340.92","55.57","55.57"
"LV","Latvia","ERDF","2021","2649138117","0","2649138117","87873364.61","0","0","87873364.61","352058755.13","30743530.48","203511608.3","117803616.35","1399634137.13","1507380.69","1428870286.92","1634547267.88","61.7","61.7"
"MT","Malta","ERDF","2021","368353997","0","368353997","10838782.71","0","0","10838782.71","54908370.24","10728555.39","31572902.1","12606912.75","163048782.96","0","173777338.35","197223033.81","53.54","53.54"
"LV","Latvia","CF","2021","1246634592","0","1246634592","38053494.39","0","0","38053494.39","193002292.07","19308795.97","114605856.14","59087639.96","587337283.43","1582884.99","605063194.41","702204328.76","56.33","56.33"
"LU","Luxembourg","TOTAL","2021","19502403","0","19502403","549967.77","0","0","549967.77","2819072.38","876416.32","1357823.64","584832.42","13054346.62","830013.35","13100749.59","14235549.78","72.99","72.99"
