"ms"	"ms_name"	"fund"	"year"	"planned_eu_amount"	"n_3_decommitment_amount"	"de_commitments_at_closure"	"rec_at_closure"	"net_planned_eu_amount"	"cumulative_initial_pre_financing"	"cumulative_additional_initial_pre_financing"	"recovery_of_initial_pre_financing"	"net_initial_pre_financing"	"cumulative_annual_pre_financing"	"annual_pre_financing_covered_by_expenditure"	"pf_covered_by_expenditure_at_closure_clearing"	"recovery_of_annual_pre_financing"	"recovery_of_pf_at_closure"	"net_annual_pre_financing"	"cumulative_interim_payments"	"recovery_of_expenses"	"recovery_of_expenses_at_closure"	"payment_at_closure"	"net_interim_payments"	"total_net_payments"	"eu_payment_rate"	"eu_payment_rate_on_planned_eu_amount"
"88"	"ES"	"Spain"	"ERDF"	2024	29101440102	2111646	0	0	29099328456	1684672125.11	0	21531983.27	1663140141.84	3957618233.99	1031335483.61	0	2542001698.91	0	2047421193.31	25708042985.91	303519789.95	0	0	26435858679.57	28483279872.88	97.882945704223	97.8758431646222
"89"	"GR"	"Greece"	"CF"	2022	2775403635	0	0	0	2775403635	122080193.92	213640339.36	0	335720533.28	515549358.14	55476890.58	0	329573416.6	0	466219584.24	1546614498.56	25977581.55	0	0	1576113807.59	2042333391.83	73.586896193209	73.586896193209
"90"	"IT"	"Italy"	"TOTAL"	2019	21660538269	0	0	0	21660538269	582340156.41	0	0	582340156.41	2043455249.36	93772231.94	0	1363927276.23	0	1168095897.6	4454900775.13	81806034.39	0	0	4466866972.68	5634962870.28	26.0148792255297	26.0148792255297
"91"	"FR"	"France"	"ERDF"	2022	11135137721	1961802	0	0	11133175919	547565185.23	0	0	547565185.23	1471187695.43	307094868.94	0	782137661.9	0	929520349.82	5785317082	33561794.47	0	0	6058850156.47	6988370506.29	62.770682482108	62.7596234675255
"92"	"SI"	"Slovenia"	"TOTAL"	2014	2285763262	0	0	0	2285763262	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"93"	"HU"	"Hungary"	"TOTAL"	2015	16782207702	0	0	0	16782207702	315505504.86	0	0	315505504.86	0	0	0	0	0	315505504.86	0	0	0	0	0	315505504.86	1.88000000037182	1.88000000037182
"94"	"PT"	"Portugal"	"CF"	2020	2781050224	0	0	0	2781050224	94151317.19	0	0	94151317.19	356429986.51	49539390.76	0	172722291.59	0	228319621.35	1110359000.24	0	0	0	1159898391	1388218012.35	49.9170421436445	49.9170421436445
"95"	"MT"	"Malta"	"TOTAL"	2024	584508391	0	0	0	584508391	16979110.17	0	0	16979110.17	108928327.68	37777580.32	0	63931040.4	0	24198817.13	509611831.41	0	0	0	547389411.73	571588228.86	97.7895677223905	97.7895677223905
"96"	"BE"	"Belgium"	"ERDF"	2015	949587368	0	0	0	949587368	17852241.56	0	0	17852241.56	0	0	0	0	0	17852241.56	0	0	0	0	0	17852241.56	1.87999989907195	1.87999989907195
"97"	"GR"	"Greece"	"ERDF"	2015	8165716612	0	0	0	8165716612	230258611.32	268635046.46	0	498893657.78	0	0	0	0	0	498893657.78	0	0	0	0	0	498893657.78	6.10961268294379	6.10961268294379
